kind,id,file,note
crop,turnip,game/art/crops/crop_turnip.png,成熟图
crop_stage,turnip:s0,game/art/crops/crop_turnip_s0.png,
crop_stage,turnip:s1,game/art/crops/crop_turnip_s1.png,
crop_stage,turnip:s2,game/art/crops/crop_turnip_s2.png,
crop_stage,turnip:s3,game/art/crops/crop_turnip_s3.png,
crop,potato,game/art/crops/crop_potato.png,成熟图
crop_stage,potato:s0,game/art/crops/crop_potato_s0.png,
crop_stage,potato:s1,game/art/crops/crop_potato_s1.png,
crop_stage,potato:s2,game/art/crops/crop_potato_s2.png,
crop_stage,potato:s3,game/art/crops/crop_potato_s3.png,
crop,tomato,game/art/crops/crop_tomato.png,成熟图
crop_stage,tomato:s0,game/art/crops/crop_tomato_s0.png,
crop_stage,tomato:s1,game/art/crops/crop_tomato_s1.png,
crop_stage,tomato:s2,game/art/crops/crop_tomato_s2.png,
crop_stage,tomato:s3,game/art/crops/crop_tomato_s3.png,
crop,berry,game/art/crops/crop_berry.png,成熟图
crop,cabbage,game/art/crops/crop_cabbage.png,成熟图
crop,carrot,game/art/crops/crop_carrot.png,成熟图
crop,onion,game/art/crops/crop_onion.png,成熟图
crop,garlic,game/art/crops/crop_garlic.png,成熟图
crop,radish,game/art/crops/crop_radish.png,成熟图
crop,lettuce,game/art/crops/crop_lettuce.png,成熟图
crop,spinach,game/art/crops/crop_spinach.png,成熟图
crop,pea,game/art/crops/crop_pea.png,成熟图
crop,strawberry,game/art/crops/crop_strawberry.png,成熟图
crop_stage,strawberry:s0,game/art/crops/crop_strawberry_s0.png,
crop_stage,strawberry:s1,game/art/crops/crop_strawberry_s1.png,
crop_stage,strawberry:s2,game/art/crops/crop_strawberry_s2.png,
crop_stage,strawberry:s3,game/art/crops/crop_strawberry_s3.png,
crop,corn,game/art/crops/crop_corn.png,成熟图
crop_stage,corn:s0,game/art/crops/crop_corn_s0.png,
crop_stage,corn:s1,game/art/crops/crop_corn_s1.png,
crop_stage,corn:s2,game/art/crops/crop_corn_s2.png,
crop_stage,corn:s3,game/art/crops/crop_corn_s3.png,
crop,watermelon,game/art/crops/crop_watermelon.png,成熟图
crop,melon,game/art/crops/crop_melon.png,成熟图
crop,pepper,game/art/crops/crop_pepper.png,成熟图
