batch,kind,id,name,files,size,status
A,crop,turnip,白萝卜,crop_turnip.png 或 crop_turnip_s0..s3.png,32x32,
A,crop,potato,土豆,crop_potato.png 或 crop_potato_s0..s3.png,32x32,
A,crop,tomato,番茄,crop_tomato.png 或 crop_tomato_s0..s3.png,32x32,
A,crop,berry,山莓,crop_berry.png 或 crop_berry_s0..s3.png,32x32,
C,crop,cabbage,卷心菜,crop_cabbage.png 或 crop_cabbage_s0..s3.png,32x32,
C,crop,carrot,胡萝卜,crop_carrot.png 或 crop_carrot_s0..s3.png,32x32,
C,crop,onion,洋葱,crop_onion.png 或 crop_onion_s0..s3.png,32x32,
C,crop,garlic,蒜头,crop_garlic.png 或 crop_garlic_s0..s3.png,32x32,
C,crop,radish,樱桃萝卜,crop_radish.png 或 crop_radish_s0..s3.png,32x32,
C,crop,lettuce,生菜,crop_lettuce.png 或 crop_lettuce_s0..s3.png,32x32,
C,crop,spinach,菠菜,crop_spinach.png 或 crop_spinach_s0..s3.png,32x32,
C,crop,pea,豌豆,crop_pea.png 或 crop_pea_s0..s3.png,32x32,
C,crop,strawberry,草莓,crop_strawberry.png 或 crop_strawberry_s0..s3.png,32x32,
A,crop,corn,玉米,crop_corn.png 或 crop_corn_s0..s3.png,32x32,
C,crop,watermelon,西瓜,crop_watermelon.png 或 crop_watermelon_s0..s3.png,32x32,
C,crop,melon,蜜瓜,crop_melon.png 或 crop_melon_s0..s3.png,32x32,
C,crop,pepper,辣椒,crop_pepper.png 或 crop_pepper_s0..s3.png,32x32,
C,crop,eggplant,茄子,crop_eggplant.png 或 crop_eggplant_s0..s3.png,32x32,
C,crop,cucumber,黄瓜,crop_cucumber.png 或 crop_cucumber_s0..s3.png,32x32,
A,crop,pumpkin,南瓜,crop_pumpkin.png 或 crop_pumpkin_s0..s3.png,32x32,
C,crop,sweet_potato,红薯,crop_sweet_potato.png 或 crop_sweet_potato_s0..s3.png,32x32,
A,crop,grape,葡萄,crop_grape.png 或 crop_grape_s0..s3.png,32x32,
A,crop,rice,稻米,crop_rice.png 或 crop_rice_s0..s3.png,32x32,
C,crop,wheat,麦穗,crop_wheat.png 或 crop_wheat_s0..s3.png,32x32,
A,crop,mushroom,蘑菇,crop_mushroom.png 或 crop_mushroom_s0..s3.png,32x32,
C,crop,hazelnut,榛果,crop_hazelnut.png 或 crop_hazelnut_s0..s3.png,32x32,
A,crop,sunflower,向日葵,crop_sunflower.png 或 crop_sunflower_s0..s3.png,32x32,
C,crop,lavender,薰衣草,crop_lavender.png 或 crop_lavender_s0..s3.png,32x32,
C,crop,chrysanthemum,秋菊,crop_chrysanthemum.png 或 crop_chrysanthemum_s0..s3.png,32x32,
C,crop,plum,李子,crop_plum.png 或 crop_plum_s0..s3.png,32x32,
A,crop,apple,苹果,crop_apple.png 或 crop_apple_s0..s3.png,32x32,
C,crop,pear,梨,crop_pear.png 或 crop_pear_s0..s3.png,32x32,
